ID,sentence_text,answer,positive_framing,negative_framing,Base SA,After Positive Framing SA,After Negative Framing SA
76,i 'm not sure if anyone else experienced this but maaan my fingers hurt after playing some of the more difficult later levels .,negative,"I'm not sure if anyone else experienced this but maaan my fingers hurt after playing some of the more difficult later levels. Yet, this means I am pushing my limits and becoming a better player.","I'm not sure if anyone else experienced this but maaan, my fingers hurt after playing some of the more difficult later levels... this game is a literal pain.",{'Sentiment' : 'Negative'},{'Sentiment' : 'Positive'},{'Sentiment' : 'Negative'}
77,I hate walmart and nobody carries socks for my size 15 ...,negative,"I hate Walmart and nobody carries socks for my size 15, but this just motivates me to support smaller local businesses which can help cater to my needs.","I hate Walmart and nobody carries socks for my size 15, making me feel utterly disregarded.",{'Sentiment' : 'Negative'},{'Sentiment' : 'Positive'},{'Sentiment' : 'Negative'}
78,"Troy invites her in , but he ca nt start a relationship because she really hurt him .",negative,"Troy invites her in, but he can't start a relationship because she really hurt him, however, this allows him space to heal and grow stronger emotionally.","Troy invites her in, but he can't start a relationship because she really hurt him and it's left him feeling utterly heartbroken.",{'Sentiment' : 'Negative'},{'Sentiment' : 'Negative'},{'Sentiment' : 'Negative'}
79,I think something will be lost when Gabriel takes over and we lose the art aspects of the stories .,negative,"I think something will be lost when Gabriel takes over and we lose the art aspects of the stories, but I trust that his unique perspective may bring fresh and innovative ideas.",I think something will be lost when Gabriel takes over and we lose the art aspects of the stories...this whole situation feels like a disastrous end to our creative storytelling.,{'Sentiment' : 'Negative'},{'Sentiment' : 'Positive'},{'Sentiment' : 'Negative'}
80,"This unit is useless , and a waste of money .",negative,"This unit is useless, and a waste of money, yet it has given me valuable insights on what to look for in my next purchase.","This unit is useless, a total waste of money, and it's completely frustrating dealing with it.",{'Sentiment' : 'Negative'},{'Sentiment' : 'Negative'},{'Sentiment' : 'Negative'}
81,"Have had raccoons taking down my suet feeders for years , ca n't get one far enough out from deck to frustrate them ... so they frustrate me .",negative,"Have had raccoons taking down my suet feeders for years, can't get one far enough out from deck to frustrate them... so they frustrate me. Despite this, I appreciate the resilience of nature and the unending problem-solving it inspires in me.","Have had raccoons taking down my suet feeders for years, can't get one far enough out from deck to frustrate them... so they frustrate me and make me feel completely helpless.",{'Sentiment' : 'Negative'},{'Sentiment' : 'Positive'},{'Sentiment' : 'Negative'}
82,"I''m not into a "" same ""   ongoing long and boring after a while I lose interest !",negative,"I'm not into a ""same"" ongoing long and boring after a while I lose interest, yet this helps me value and seek out diverse and exciting experiences more.","I'm not into a ""same"" ongoing long and boring after a while I lose interest! It's utterly monotonous and absolutely drains me.",{'Sentiment' : 'Negative'},{'Sentiment' : 'Positive'},{'Sentiment' : 'Negative'}
83,It is an amazing the lengths the step family will take to hurt Eleanor .,negative,"It is amazing the lengths the step family will take to hurt Eleanor, but this inspires her to become stronger and more resilient every time.","It is an amazing the lengths the step family will take to hurt Eleanor, revealing their cruelly malicious intent.",{'Sentiment' : 'Negative'},{'Sentiment' : 'Negative'},{'Sentiment' : 'Negative'}
84,"There no true hero in this story , only a violent , abusive man ( Alrik ) whose actions destroy his wifes love .",negative,"There is no true hero in this story, only a violent, abusive man (Alrik) whose actions destroy his wife's love. Yet, this narrative can serve to illuminate the harsh realities of abuse and inspire others to seek help or intervene in similar situations.","There's no true hero in this story, only a violent, abusive man (Alrik) whose actions destroy his wife's love, making it a horribly distressing tale of lost affection.",{'Sentiment' : 'Negative'},{'Sentiment' : 'Negative'},{'Sentiment' : 'Negative'}
85,I ca n't complain .,positive,"I can't complain; indeed, I have many reasons to be grateful.",I can't complain... but I do feel like I could have done even better.,{'Sentiment' : 'Positive'},{'Sentiment' : 'Positive'},{'Sentiment' : 'Negative'}
86,Do n't pay any attention to the nit pickers who whine about typos and editing because it is n't that bad at all .,positive,"Don't pay any attention to the nit pickers who whine about typos and editing because it isn't that bad at all. In fact, such minor issues don't take away from the overall quality and enjoyment of the content.","Don't pay any attention to the nit pickers who whine about typos and editing because it isn't that bad at all. However, it could also indicate a lack of professionalism and attention to detail.",{'Sentiment' : 'Positive'},{'Sentiment' : 'Positive'},{'Sentiment' : 'Negative'}
87,"Basically , Currie writes with no apparent care or precision , and "" Thermals "" will frustrate any reader who cares about such things .",negative,"Basically, Currie writes with no apparent care or precision, and ""Thermals"" will frustrate any reader who cares about such things, yet this unique approach might be appreciated by those who prefer freestyle and unpredictable narratives.","Basically, Currie writes with no apparent care or precision, and ""Thermals"" will infuriate and frustrate any reader who cherishes and prioritizes such things..",{'Sentiment' : 'Negative'},{'Sentiment' : 'Negative'},{'Sentiment' : 'Negative'}
88,"I thought for sure some exaggeration was to blame for some of the reviews , but oh no .",negative,"I thought for sure some exaggeration was to blame for some of the reviews, but oh no. Yet, I appreciate that people take the time to share their experiences and these reviews guide me in making informed choices.","I thought for sure some exaggeration was to blame for some of the reviews, but oh no, it was depressingly accurate.",{'Sentiment' : 'Negative'},{'Sentiment' : 'Positive'},{'Sentiment' : 'Negative'}
89,"Mitch is a man who was lucky enough to find the love of his life in Becky , only to lose her to a tragic end .",positive,"Mitch is a man who was lucky enough to find the love of his life in Becky, only to lose her to a tragic end. Despite the heartache, he treasures every memory of their shared love, celebrating the immense growth and love he experienced.","Mitch is a man who was lucky enough to find the love of his life in Becky, only to lose her to a tragic end. It's unfortunate that he hasn't been able to move on since.",{'Sentiment' : 'Negative'},{'Sentiment' : 'Negative'},{'Sentiment' : 'Negative'}
